Year,Month,Region,Province/HUC/ICC,Cases
2017,2,5,MASBATE,19
2017,2,5,NAGA CITY,41
2017,2,5,SORSOGON,15
2017,2,6,AKLAN,66
2017,2,6,ANTIQUE,14
2017,2,6,BACOLOD CITY,74
2017,2,6,CAPIZ,23
2017,2,6,GUIMARAS,1
2017,2,6,ILOILO,51
2017,2,6,ILOILO CITY,23
2017,2,6,NEGROS OCCIDENTAL,168
2017,2,7,BOHOL,106
2017,2,7,CEBU,658
2017,2,7,CEBU CITY,379
2017,2,7,LAPU-LAPU CITY (OPON),94
2017,2,7,MANDAUE CITY,121
2017,2,7,NEGROS ORIENTAL,199
2017,2,7,SIQUIJOR,7
2017,2,8,BILIRAN,25
2017,2,8,EASTERN SAMAR,17
2017,2,8,LEYTE,165
2017,2,8,NORTHERN SAMAR,15
2017,2,8,ORMOC CITY,45
2017,2,8,SAMAR (WESTERN SAMAR),43
2017,2,8,SOUTHERN LEYTE,26
2017,2,8,TACLOBAN CITY,77
2017,2,9,CITY OF ISABELA,47
2017,2,9,ZAMBOANGA CITY,184
2017,2,9,ZAMBOANGA DEL NORTE,76
2017,2,9,ZAMBOANGA DEL SUR,40
2017,2,9,ZAMBOANGA SIBUGAY,22
2017,2,10,BUKIDNON,118
2017,2,10,CAGAYAN DE ORO CITY,112
2017,2,10,CAMIGUIN,14
2017,2,10,ILIGAN CITY,61
2017,2,10,LANAO DEL NORTE,22
2017,2,10,MISAMIS OCCIDENTAL,86
2017,2,10,MISAMIS ORIENTAL,116
2017,2,11,DAVAO CITY,204
2017,2,11,DAVAO DE ORO,46
2017,2,11,DAVAO DEL NORTE,133
2017,2,11,DAVAO DEL SUR,16
2017,2,11,DAVAO OCCIDENTAL,2
2017,2,11,DAVAO ORIENTAL,47
2017,2,12,COTABATO (NORTH COTABATO),204
2017,2,12,GENERAL SANTOS CITY (DADIANGAS),267
2017,2,12,SARANGANI,187
2017,2,12,SOUTH COTABATO,237
2017,2,12,SULTAN KUDARAT,67
2017,2,4A,BATANGAS,147
2017,2,4A,CAVITE,313
2017,2,4A,LAGUNA,292
2017,2,4A,LUCENA CITY,39
2017,2,4A,QUEZON,98
2017,2,4A,RIZAL,266
2017,2,4B,MARINDUQUE,10
2017,2,4B,OCCIDENTAL MINDORO,86
2017,2,4B,ORIENTAL MINDORO,34
2017,2,4B,PALAWAN,39
2017,2,4B,PUERTO PRINCESA CITY,26
2017,2,4B,ROMBLON,11
2017,2,BARMM,BASILAN,40
2017,2,BARMM,COTABATO CITY,18
2017,2,BARMM,LANAO DEL SUR,1
2017,2,BARMM,SULU,5
2017,2,BARMM,TAWI-TAWI,6
2017,2,CAR,ABRA,11
2017,2,CAR,APAYAO,22
2017,2,CAR,BAGUIO CITY,12
2017,2,CAR,BENGUET,14
2017,2,CAR,IFUGAO,8
2017,2,CAR,KALINGA,46
2017,2,CAR,MOUNTAIN PROVINCE,2
2017,2,CARAGA,AGUSAN DEL NORTE,21
2017,2,CARAGA,AGUSAN DEL SUR,50
2017,2,CARAGA,BUTUAN CITY,49
2017,2,CARAGA,DINAGAT ISLANDS,3
2017,2,CARAGA,SURIGAO DEL NORTE,56
2017,2,CARAGA,SURIGAO DEL SUR,80
2017,2,NCR,CALOOCAN CITY,118
2017,2,NCR,CITY OF LAS PIÑAS,46
