"Total Population, Household Population, and Number of Households by Region and Province/Highly Urbanized City: Philippines, 2020"

"Geographic Location";"Total Population";"Household Population";"Number of Households"
"....Marinduque";239207;238830;60557
"....Occidental Mindoro";525354;521444;126633
"....Oriental Mindoro";908339;906661;215076
"....Palawan *";939594;934669;230836
"....Romblon";308985;308072;77639
"....City of Puerto Princesa";307079;302611;82134
"..REGION V (BICOL REGION)";6082165;6067290;1365044
"....Albay";1374768;1372550;311448
"....Camarines Norte";629699;628807;144155
"....Camarines Sur";2068244;2062277;455276
"....Catanduanes";271879;270775;60352
"....Masbate";908920;906731;206351
"....Sorsogon";828655;826150;187462
"..REGION VI (WESTERN VISAYAS)";7954723;7935531;1939989
"....Aklan";615475;612985;151381
"....Antique";612974;611478;147696
"....Capiz";804952;803879;202033
"....Guimaras";187842;187576;47476
"....Iloilo *";2051899;2048039;506187
"....Negros Occidental *";2623172;2618672;637967
"....City of Bacolod";600783;597615;142936
"....City of Iloilo";457626;455287;104313
"..REGION VII (CENTRAL VISAYAS)";8081988;8046285;1966588
"....Bohol";1394329;1390524;322022
"....Cebu *";3325385;3309850;799486
"....Negros Oriental";1432990;1428548;347961
"....Siquijor";103395;103014;25805
"....City of Cebu";964169;958626;238317
"....City of Lapu-Lapu (Opon)";497604;494672;129652
"....City of Mandaue";364116;361051;103345
"..REGION VIII (EASTERN VISAYAS)";4547150;4531512;1082106
"....Biliran";179312;178715;43053
"....Eastern Samar";477168;475847;115777
"....Leyte *";1776847;1771011;443470
"....Northern Samar";639186;636995;139885
"....Samar (Western Samar)";793183;791045;181794
"....Southern Leyte";429573;428484;100876
"....City of Tacloban";251881;249415;57251
"..REGION IX (ZAMBOANGA PENINSULA)";3875576;3862588;895899
"....Zamboanga del Norte";1047455;1046017;247971
"....Zamboanga del Sur *";1050668;1048402;239258
"....Zamboanga Sibugay";669840;668648;154669
"....City of Isabela **";130379;130130;26649
"....City of Zamboanga";977234;969391;227352
"..REGION X (NORTHERN MINDANAO)";5022768;5007798;1197736
"....Bukidnon";1541308;1537629;357112
"....Camiguin";92808;92696;22281
"....Lanao del Norte *";722902;721716;161458
"....Misamis Occidental";617333;614951;149188
"....Misamis Oriental *";956900;954953;230233
"....City of Cagayan de Oro";728402;723671;190225
"....City of Iligan";363115;362182;87239
"..REGION XI (DAVAO REGION)";5243536;5223802;1337781
"....Davao de Oro (Compostela Valley)";767547;766299;188918
"....Davao del Norte";1125057;1115167;271655
"....Davao del Sur *";680481;679457;182681
"....Davao Occidental";317159;316907;78185
"....Davao Oriental";576343;574984;140064
"....City of Davao";1776949;1770988;476278
"..REGION XII (SOCCSKSARGEN)";4360974;4351773;1065453
"....Cotabato (North Cotabato)";1275185;1273594;308443
"....Sarangani";558946;558069;133865
"....South Cotabato *";975476;973146;244987
"....Sultan Kudarat";854052;851554;202813
"....City of General Santos (Dadiangas)";697315;695410;175345
"..REGION XIII (CARAGA)";2804788;2795340;661773
"....Agusan del Norte *";387503;386211;91016
"....Agusan del Sur";739367;737991;173962
"....Dinagat Islands";128117;127963;29391
"....Surigao del Norte";534636;531753;127445
"....Surigao del Sur";642255;640512;150551
"....City of Butuan";372910;370910;89408
"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";4944800;4938539;832908
"....Basilan";426207;425111;73419
"....Lanao del Sur";1195518;1194507;183629
"....Maguindanao";1667258;1666353;287284
"....Sulu";1000108;998675;166140
"....Tawi-Tawi";440276;438545;74768
"....Eight (8) Area Clusters ***";215433;215348;47668
